community_id,community_name,community_aliases,community_type,local_govt_council,ward,land_council,electorate,ntg_region,population_count,population_source,latitude,longitude,bushtel_url
929,TWETYE (A),No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,12,Homelands Service Provider Report 2023,-23.74034,133.70539,https://bushtel.nt.gov.au/profile/929
930,TWETYE (B),No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-23.74292,133.69633,https://bushtel.nt.gov.au/profile/930
931,TYWENPE (A),TWENPE (A),Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,20,Homelands Service Provider Report 2023,-23.72634,133.72928,https://bushtel.nt.gov.au/profile/931
933,TYWENPE (C),"TWENPE(C),TYWENPE(C)",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-23.74426,133.68787,https://bushtel.nt.gov.au/profile/933
934,TYWENPE (D),TWENPE(D),Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,7,Homelands Service Provider Report 2023,-23.7648,133.67226,https://bushtel.nt.gov.au/profile/934
991,UGUIE,CLARKSON POINT,Family Outstation,ROPER GULF,SOUTH WEST GULF,NORTHERN LAND COUNCIL,BARKLY,BIG RIVERS,,Not recorded,-15.83006,137.04142,https://bushtel.nt.gov.au/profile/991
159,UKAKA,TEMPE DOWNS,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-24.59261,132.37395,https://bushtel.nt.gov.au/profile/159
160,UKATJUPU,UKATJUPA,Family Outstation,MACDONNELL,IYARRKA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-25.90949,129.10549,https://bushtel.nt.gov.au/profile/160
760,ULAMBARA,"ULAMBAURA,ULLUMBARA",Family Outstation,MACDONNELL,LURITJA PINTUBI,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,8,Homelands Service Provider Report 2023,-23.27715,131.92748,https://bushtel.nt.gov.au/profile/760
705,ULBULLA,JULALIKARI,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,,Not recorded,-25.68357,133.19644,https://bushtel.nt.gov.au/profile/705
162,ULPANYALI,OCHRE HILL,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,17,Homelands Service Provider Report 2023,-24.23091,131.50075,https://bushtel.nt.gov.au/profile/162
772,ULPUNDA,MARCUS'S CAMP,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,11,Homelands Service Provider Report 2023,-23.9546,132.766,https://bushtel.nt.gov.au/profile/772
1016,ULUPERTE,JUNCTION BORE,Family Outstation,CENTRAL DESERT,AKITYARRE,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,,Not recorded,-23.76408,135.69544,https://bushtel.nt.gov.au/profile/1016
962,UMINYULUK,No aliases recorded with NTG DIPL,Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,8,Homelands Service Provider Report 2023,-13.83073,130.05311,https://bushtel.nt.gov.au/profile/962
662,UN-MARR,"AN-MARR,MADINGNA,MARDENGA,MARDINGA,MARDINGNA,MARINGAR,MARYGAR",Family Outstation,WEST DALY,THAMARRURR/PINDI PINDI,NORTHERN LAND COUNCIL,DALY,TOP END,,Not recorded,-14.06441,129.90879,https://bushtel.nt.gov.au/profile/662
711,UNDOOLYA BORE,"MOUNT UNDOOLYA,UNDOOLYA",Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,24,Homelands Service Provider Report 2023,-23.74762,134.11762,https://bushtel.nt.gov.au/profile/711
166,UNDURANA 1C,"UNDARANA,UNDERANNA",Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,2,Homelands Service Provider Report 2023,-23.75723,132.12722,https://bushtel.nt.gov.au/profile/166
985,UNDURANA 2A,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,LJIRAPINTA,CENTRAL LAND COUNCIL,GWOJA,CENTRAL AUSTRALIA,6,Homelands Service Provider Report 2023,-23.75901,132.10597,https://bushtel.nt.gov.au/profile/985
156,URLAMPE,TOBERMOREY,Family Outstation,CENTRAL DESERT,AKITYARRE,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,20,Homelands Service Provider Report 2023,-22.49317,137.74252,https://bushtel.nt.gov.au/profile/156
24992,URRERMERNE,No aliases recorded with NTG DIPL,Family Outstation,MACDONNELL,RODINGA,CENTRAL LAND COUNCIL,NAMATJIRA,CENTRAL AUSTRALIA,14,Homelands Service Provider Report 2023,-23.9629,134.06913,https://bushtel.nt.gov.au/profile/24992
